Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2023_q2,,Hysteroscopy,,Zone 2,Aberdeen Hospital,2023,2,30,68,39,62
12month_rolling,,Laryngology and Vocal Cord Surgery,,Zone 1,Valley Regional,2025,1,31,311,43,91
2024_q4,,Gastric Surgery,,Total,Provincial,2024,4,14,21,38,127
3month_rolling,,Cardiac Valve Replacement,,Zone 4,QE2,2025,1,,,62,123
2023_q3,,Hernia Repair  (Pediatric),,IWK,IWK,2023,3,97,228,119,361
2023_q3,,Kidney Stone Surgery,,Zone 3,Cape Breton Regional,2023,3,34,80,36,387
2023_q2,,Ear Tubes  (Pediatric),,Zone 1,Valley Regional,2023,2,120,168,55,148
2025_q1,,Colorectal Cancer Surgery,,Total,Provincial,2025,1,20,85,31,71
12month_rolling,,Cystoscopy,,IWK,IWK,2025,1,113,236,76,278
12month_rolling,Orthopaedic,Back Surgery  (Pediatric),"Morash, Kevin",,,,,46,175,390,763
2025_q1,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2025,1,,,47,61
2023_q2,,Hernia Repair  (Adult),,Zone 3,St. Martha's Regional,2023,2,23,106,228,310
12month_rolling,Urology,Kidney Stone Surgery,"Bailly, Greg G",,,,,48,100,30,32
12month_rolling,,Shoulder Arthroplasty,,Zone 4,QE2,2025,1,74,315,243,642
2024_q4,,Shoulder Arthroplasty,,Total,Provincial,2024,4,75,389,175,529
2025_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,Cape Breton Regional,2025,1,48,118,253,320
2023_q2,,Cardiovascular Surgery,,Total,Provincial,2023,2,,,10,91
12month_rolling,Urology,All,"Butler, Trevor",,,,,2,3,49,181
12month_rolling,,Bowel Resection - Open,,Zone 1,Yarmouth Regional,2025,1,22,59,27,112
2024_q4,,Hysteroscopy,,Zone 4,Dartmouth General,2024,4,35,177,59,163
12month_rolling,Obstetrics/Gynaecology,All,"Pearsall, Jessica",,,,,60,497,48,127
2023_q4,,Cataract Surgery,,Total,Provincial,2023,4,105,266,63,242
2025_q1,,Head and Neck Surgery,,Total,Provincial,2025,1,16,79,42,139
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Lapierre, Stephanie",,,,,17,65,24,149
3month_rolling,,Knee Replacement,,Zone 2,Aberdeen Hospital,2025,1,168,392,139,298
2023_q4,,Endometrial Ablation,,Zone 2,Aberdeen Hospital,2023,4,,,46,184
2024_q1,,Sacral Nerve Stimulation,,Total,Provincial,2024,1,,,133,162
2023_q2,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2023,2,57,278,57,188
2024_q4,,Knee Scope,,Zone 2,Aberdeen Hospital,2024,4,59,230,85,151
3month_rolling,,Knee Replacement,,Zone 3,Cape Breton Regional,2025,1,190,298,80,174
2024_q4,,Hernia Repair - Incisional,,Zone 2,Colchester East Hants Health Centre,2024,4,,,128,268
12month_rolling,Otolaryngology (ENT),All,"Corsten, Martin",,,,,21,73,44,701
12month_rolling,General Surgery,Hernia Repair  (Adult),"Nader, Nabil",,,,,46,121,80,133
12month_rolling,Obstetrics/Gynaecology,All,"Lee, Winifred W",,,,,118,349,86,142
2024_q4,,Spinal Cord Stimulation Surgery,,Zone 4,QE2,2024,4,,,63,261
2024_q4,,Lacrimal Duct Probing,,Total,Provincial,2024,4,24,110,79,228
2023_q2,,Hernia Repair  (Adult),,Zone 3,Cape Breton Regional,2023,2,42,317,140,406
2024_q4,,Kidney Stone Surgery,,Zone 1,Valley Regional,2024,4,,,50,192
2025_q1,,Back Surgery  (Pediatric),,Total,Provincial,2025,1,,,333,589
12month_rolling,Orthopaedic Surgery,,,,,2025,1,,,113,402
2023_q1,,Hip Replacement,,Total,Provincial,2023,1,149,421,190,651
2023_q2,,Nissen Fundoplication - Laparoscopic,,Zone 4,QE2,2023,2,55,119,154,483
2024_q2,,Bowel Resection - Laparoscopic,,Total,Provincial,2024,2,18,91,33,90
2024_q1,,Cystoscopy,,Zone 4,QE2,2024,1,33,111,51,253
2024_q4,,Head and Neck Surgery,,Zone 4,Dartmouth General,2024,4,20,78,97,140
12month_rolling,,Bladder Surgery,,Total,Provincial,2025,1,17,86,50,105
2023_q2,,Knee Replacement,,Total,Provincial,2023,2,156,508,258,633
2024_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 3,St. Martha's Regional,2024,4,70,366,113,215
12month_rolling,,Esophagoscopy,,Zone 4,QE2,2025,1,28,371,30,65
2023_q3,,Pancreas Surgery,,Total,Provincial,2023,3,14,64,36,64
2024_q4,,Brain Surgery  (Pediatric),,Total,Provincial,2024,4,,,21,74
2024_q2,,Insertion Vascular Access Catheter,,Total,Provincial,2024,2,11,130,11,97
3month_rolling,,Bladder Cancer Surgery,,Zone 3,Cape Breton Regional,2025,1,87,153,30,100
2024_q2,,Male Reproductive System Surgery,,Zone 4,Hants Community Hospital,2024,2,81,237,117,381
2024_q2,,Knee Replacement Revision,,Zone 4,QE2,2024,2,,,219,941
2024_q1,,Hysteroscopy,,Zone 1,Yarmouth Regional,2024,1,78,142,60,124
2024_q4,,Hernia Repair - Inguinal/Femoral,,Zone 2,Aberdeen Hospital,2024,4,105,262,,
12month_rolling,,Hysteroscopy,,Zone 3,St. Martha's Regional,2025,1,31,397,54,128
2025_q1,,Cystoscopy,,Zone 3,Cape Breton Regional,2025,1,58,153,34,124
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Kavanagh, Rhys",,,,,76,304,22,75
2023_q4,,Septoplasty,,Zone 4,Hants Community Hospital,2023,4,62,471,82,420
2024_q1,,Prostate Surgery,,Zone 1,Valley Regional,2024,1,15,91,77,177
2023_q3,,Hernia Repair  (Adult),,Zone 3,Glace Bay,2023,3,248,581,,
3month_rolling,,Carpal Tunnel Surgery,,Zone 4,QE2,2025,1,,,167,224
12month_rolling,Obstetrics/Gynaecology,All,"Saciragic, Lana",,,,,13,34,36,99
